date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:11:07	68232/68232	---M--	200	added ('OK')	font/woff2	etag:W/%2210a88-197cf256d50%22	https://ok-ex.io/_nuxt/fonts/Tajrid-Regular.8bde04c.woff2	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/_nuxt/fonts/Tajrid-Regular.8bde04c.woff2	(from https://ok-ex.io/trade/BTC_USDT)
01:11:08	68284/68284	---M--	200	added ('OK')	font/woff2	etag:W/%2210abc-197cf256d50%22	https://ok-ex.io/_nuxt/fonts/Tajrid-Medium.53911c7.woff2	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/_nuxt/fonts/Tajrid-Medium.53911c7.woff2	(from https://ok-ex.io/trade/BTC_USDT)
01:11:09	69100/69100	---M--	200	added ('OK')	font/woff2	etag:W/%2210dec-197cf256d50%22	https://ok-ex.io/_nuxt/fonts/Tajrid-SemiBold.d015d28.woff2	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/_nuxt/fonts/Tajrid-SemiBold.d015d28.woff2	(from https://ok-ex.io/trade/BTC_USDT)
01:11:09	68352/68352	---M--	200	added ('OK')	font/woff2	etag:W/%2210b00-197cf256d50%22	https://ok-ex.io/_nuxt/fonts/Tajrid-Bold.0a388e4.woff2	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/_nuxt/fonts/Tajrid-Bold.0a388e4.woff2	(from https://ok-ex.io/trade/BTC_USDT)
01:11:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Jul%202025%2021:41:09%20GMT	https://ok-ex.io/buy-and-sell	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/buy-and-sell	(from https://ok-ex.io/trade/BTC_USDT)
01:11:10	2885/2885	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b45-197cf256d50%22	https://ok-ex.io/_nuxt/img/okeximgholder.39ecae5.svg	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/_nuxt/img/okeximgholder.39ecae5.svg	(from https://ok-ex.io/trade/BTC_USDT)
01:11:11	31818/31818	---MCZ	200	added ('OK')	application/javascript	etag:W/%227c4a-197cf256d50%22	https://ok-ex.io/_nuxt/130.07c3e076bca1476a595a.js	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/_nuxt/130.07c3e076bca1476a595a.js	(from https://ok-ex.io/trade/margin/BTC_USDT)
01:11:11	16899/16899	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224203-197cf256d50%22	https://ok-ex.io/_nuxt/img/logoMargin.e3dec02.svg	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/_nuxt/img/logoMargin.e3dec02.svg	(from https://ok-ex.io/trade/margin/BTC_USDT)
01:11:12	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Jul%202025%2021:41:12%20GMT	https://ok-ex.io/buy-and-sell	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/buy-and-sell	(from https://ok-ex.io/trade/margin/BTC_USDT)
01:11:13	25929/25929	---MCZ	200	added ('OK')	application/javascript	etag:W/%226549-197cf256d50%22	https://ok-ex.io/_nuxt/88.f8df83ca9d5ef821321f.js	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/_nuxt/88.f8df83ca9d5ef821321f.js	(from https://ok-ex.io/otc/processing?coin=BTC)
01:11:14	28588/28588	---MCZ	200	added ('OK')	application/javascript	etag:W/%226fac-197cf256d50%22	https://ok-ex.io/_nuxt/33.ab17784e857b8bccbd7b.js	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/_nuxt/33.ab17784e857b8bccbd7b.js	(from https://ok-ex.io/otc/processing?coin=BTC)
01:11:15	5688/5688	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221638-197cf256d50%22	https://ok-ex.io/_nuxt/img/footer-bg.58445d7.svg	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/_nuxt/img/footer-bg.58445d7.svg	(from https://ok-ex.io/otc/processing?coin=BTC)
01:11:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Jul%202025%2021:41:15%20GMT	https://ok-ex.io/buy-and-sell	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/buy-and-sell	(from https://ok-ex.io/otc/processing?coin=BTC)
01:11:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Jul%202025%2021:41:15%20GMT	https://ok-ex.io/buy-and-sell	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/buy-and-sell	(from https://ok-ex.io/otc/processing?coin=BTC)
01:11:16	124/124	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Jul%202025%2021:41:16%20GMT	https://ok-ex.io/buy-and-sell/BTC	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/buy-and-sell/BTC	(from https://ok-ex.io/otc/processing?coin=BTC)
01:11:17	124/124	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Jul%202025%2021:41:17%20GMT	https://ok-ex.io/buy-and-sell/ETH	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/buy-and-sell/ETH	(from https://ok-ex.io/otc/processing?coin=BTC)
01:11:18	124/124	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Jul%202025%2021:41:18%20GMT	https://ok-ex.io/buy-and-sell/TRX	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/buy-and-sell/TRX	(from https://ok-ex.io/otc/processing?coin=BTC)
